canonical_key,total_mentions,variation_count,variations,gender_from_xml,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Annesley,3,1,Annesley,,Unknown,Unknown,Female,0,5,3,Female
Emma,3,1,Emma,,Female,Female,Unknown,0,0,0,Female
Swift,3,1,Swift,,Unknown,Unknown,Female,1,2,5,Female
Lewis de Bourgh,3,1,Lewis de Bourgh,,Unknown,Unknown,Unknown,2,2,3,Unknown
Cruscans,2,1,Cruscans,,Unknown,Unknown,Unknown,0,1,2,Unknown
Haggerston,2,1,Haggerston,,Unknown,Unknown,Unknown,0,0,2,Unknown
W.,2,1,W.,,Unknown,Unknown,Unknown,0,0,0,Unknown
John,2,1,John,,Male,Male,Unknown,0,0,0,Male
Lizzie,2,1,Lizzie,,Unknown,Unknown,Male,2,0,2,Male
Thackeray,2,1,Thackeray,,Unknown,Unknown,Unknown,1,0,2,Unknown
Maria_Lucas,2,1,Maria Lucas,,Female,Female,Unknown,0,0,0,Female
Miller,2,1,Miller,,Unknown,Unknown,Unknown,0,1,2,Unknown
Ladyship,2,1,Ladyship,,Unknown,Unknown,Female,29,83,42,Female
Philipses,2,1,Philipses,,Unknown,Unknown,Unknown,1,1,2,Unknown
Fanny,2,1,Fanny,,Female,Female,Unknown,0,0,0,Female
Mary King,2,1,Mary King,,Unknown,Unknown,Unknown,0,0,2,Unknown
Gouldings,2,1,Gouldings,,Unknown,Unknown,Unknown,0,1,2,Unknown
GARDINER,2,1,GARDINER,,Unknown,Unknown,Female,72,95,97,Female
Harriet,2,1,Harriet,,Female,Female,Unknown,0,0,0,Female
La,2,1,La,,Unknown,Unknown,Unknown,0,0,3,Unknown
Crawford,2,1,Crawford,,Unknown,Unknown,Male,2,0,2,Male
Eltons,2,1,Eltons,,Unknown,Unknown,Female,0,3,2,Female
Norris,2,1,Norris,,Unknown,Unknown,Male,2,1,2,Male
Mamma,2,1,Mamma,,Unknown,Unknown,Female,7,9,11,Female
Pratt,2,1,Pratt,,Unknown,Unknown,Male,2,0,2,Male
Webbs,1,1,Webbs,,Unknown,Unknown,Unknown,0,0,1,Unknown
Metcalfe,1,1,Metcalfe,,Unknown,Unknown,Unknown,0,0,1,Unknown
Lucas Lodge,1,1,Lucas Lodge,,Unknown,Unknown,Male,14,4,6,Male
Georgiana Darcy,1,1,Georgiana Darcy,,Unknown,Unknown,Female,0,3,1,Female
Nicholls,1,1,Nicholls,,Unknown,Unknown,Male,2,1,1,Male
Vain,1,1,Vain,,Unknown,Unknown,Female,8,25,20,Female
Grantley,1,1,Grantley,,Unknown,Unknown,Female,0,3,1,Female
Ramsgate,1,1,Ramsgate,,Unknown,Unknown,Female,3,9,3,Female
Pope,1,1,Pope,,Unknown,Unknown,Unknown,0,1,1,Unknown
Anne Darcy,1,1,Anne Darcy,,Unknown,Unknown,Unknown,0,1,1,Unknown
God,1,1,God,,Unknown,Unknown,Unknown,1,0,4,Unknown
Richard,1,1,Richard,,Male,Male,Unknown,0,0,0,Male
Catherine de Bourgh's,1,1,Catherine de Bourgh's,,Unknown,Unknown,Male,2,0,1,Male
Mr_Collins,1,1,WILLIAM COLLINS,Male,Male,Male,Unknown,0,0,0,Male
Venus,1,1,Venus,,Unknown,Unknown,Unknown,0,0,1,Unknown
Don Juanish,1,1,Don Juanish,,Unknown,Unknown,Male,2,1,1,Male
Henry Tilney,1,1,Henry Tilney,,Unknown,Unknown,Unknown,0,0,1,Unknown
Fordyce,1,1,Fordyce,,Unknown,Unknown,Unknown,1,0,2,Unknown
Austen Leigh,1,1,Austen Leigh,,Unknown,Unknown,Female,0,3,1,Female
"Jane Bennet,--she",1,1,"Jane Bennet,--she",,Unknown,Unknown,Female,2,19,7,Female
Dovedale,1,1,Dovedale,,Unknown,Unknown,Female,0,5,2,Female
Harringtons,1,1,Harringtons,,Unknown,Unknown,Unknown,0,1,1,Unknown
Bromley,1,1,Bromley,,Unknown,Unknown,Unknown,0,0,1,Unknown
Scott,1,1,Scott,,Unknown,Unknown,Unknown,0,0,1,Unknown
Sarah,1,1,Sarah,,Female,Female,Unknown,0,0,0,Female
Nichols,1,1,Nichols,,Unknown,Unknown,Female,0,2,1,Female
Stone,1,1,Stone,,Unknown,Unknown,Unknown,0,0,2,Unknown
William Goulding,1,1,William Goulding,,Unknown,Unknown,Male,4,0,1,Male
Ashworth,1,1,Ashworth,,Unknown,Unknown,Unknown,0,1,1,Unknown
EDW. GARDINER.,1,1,EDW. GARDINER.,,Unknown,Unknown,Unknown,0,0,0,Unknown
L.,1,1,L.,,Unknown,Unknown,Unknown,0,0,0,Unknown
Forsters,1,1,Forsters,,Unknown,Unknown,Unknown,0,1,1,Unknown
Lydia Wickham,1,1,Lydia Wickham,,Unknown,Unknown,Unknown,0,0,1,Unknown
Sally,1,1,Sally,,Female,Female,Unknown,0,0,0,Female
Pen,1,1,Pen,,Unknown,Unknown,Unknown,0,1,3,Unknown
Colonel,1,1,Colonel,,Male,Male,Unknown,0,0,0,Male
Chamberlayne,1,1,Chamberlayne,,Unknown,Unknown,Unknown,0,0,1,Unknown
Matlock,1,1,Matlock,,Unknown,Unknown,Female,0,5,2,Female
Dawson,1,1,Dawson,,Unknown,Unknown,Male,2,0,2,Male
FITZWILLIAM DARCY.,1,1,FITZWILLIAM DARCY.,,Unknown,Unknown,Unknown,0,0,0,Unknown
Coleridge,1,1,Coleridge,,Unknown,Unknown,Unknown,0,0,1,Unknown
George Saintsbury,1,1,George Saintsbury,,Unknown,Unknown,Unknown,0,0,1,Unknown
Cosway,1,1,Cosway,,Unknown,Unknown,Unknown,1,0,1,Unknown
Hursts,1,1,Hursts,,Unknown,Unknown,Unknown,0,0,1,Unknown
Argemone Lavington,1,1,Argemone Lavington,,Unknown,Unknown,Unknown,0,0,1,Unknown
Rushworth,1,1,Rushworth,,Unknown,Unknown,Unknown,0,0,1,Unknown
Walt Whitman,1,1,Walt Whitman,,Unknown,Unknown,Unknown,0,0,0,Unknown
Edmund,1,1,Edmund,,Male,Male,Unknown,0,0,0,Male
Bates,1,1,Bates,,Unknown,Unknown,Female,0,2,1,Female
George Allen,1,1,George Allen,,Unknown,Unknown,Unknown,0,0,1,Unknown
Jane Fairfax,1,1,Jane Fairfax,,Unknown,Unknown,Unknown,0,0,1,Unknown
Frank Churchill,1,1,Frank Churchill,,Unknown,Unknown,Unknown,0,0,1,Unknown
John Thorpe,1,1,John Thorpe,,Unknown,Unknown,Unknown,0,1,1,Unknown
Spectator,1,1,Spectator,,Unknown,Unknown,Unknown,4,4,3,Unknown
Jane Austen's,1,1,Jane Austen's,,Unknown,Unknown,Unknown,0,0,1,Unknown
Smollett,1,1,Smollett,,Unknown,Unknown,Unknown,0,1,1,Unknown
Burney,1,1,Burney,,Unknown,Unknown,Unknown,0,1,1,Unknown
Shapely,1,1,Shapely,,Unknown,Unknown,Female,1,3,1,Female
Jane Austen,1,1,Jane Austen,,Unknown,Unknown,Unknown,0,0,2,Unknown
"Hugh Thomson



Ruskin",1,1,"Hugh Thomson



Ruskin",,Unknown,Unknown,Unknown,0,0,1,Unknown
Mentor,1,1,Mentor,,Unknown,Unknown,Female,1,3,1,Female
Diana Vernon,1,1,Diana Vernon,,Unknown,Unknown,Unknown,0,0,1,Unknown
Clarke,1,1,Clarke,,Unknown,Unknown,Unknown,0,1,1,Unknown
Meissonier,1,1,Meissonier,,Unknown,Unknown,Unknown,1,0,1,Unknown
Watson,1,1,Watson,,Male,Male,Unknown,0,0,0,Male
Memling,1,1,Memling,,Unknown,Unknown,Unknown,1,0,1,Unknown
M. de Maupassant,1,1,M. de Maupassant,,Unknown,Unknown,Unknown,1,0,1,Unknown
Mary Wollstonecraft,1,1,Mary Wollstonecraft,,Unknown,Unknown,Unknown,0,0,1,Unknown
John Dashwood,1,1,John Dashwood,,Unknown,Unknown,Unknown,1,0,1,Unknown
Musgrove,1,1,Musgrove,,Unknown,Unknown,Female,1,3,1,Female
Goldwin Smith,1,1,Goldwin Smith,,Unknown,Unknown,Female,1,6,1,Female
Della,1,1,Della,,Unknown,Unknown,Unknown,0,1,2,Unknown
Morris,1,1,Morris,,Male,Male,Unknown,0,0,0,Male
Argemone,1,1,Argemone,,Unknown,Unknown,Unknown,0,0,2,Unknown
Diana,1,1,Diana,,Female,Female,Unknown,0,0,0,Female
Barbara,1,1,Barbara,,Female,Female,Unknown,0,0,0,Female
SAINTSBURY,1,1,SAINTSBURY,,Unknown,Unknown,Unknown,0,0,2,Unknown
Beatrix Esmond,1,1,Beatrix Esmond,,Unknown,Unknown,Unknown,0,0,1,Unknown
Michaelmas,1,1,Michaelmas,,Unknown,Unknown,Male,4,0,2,Male
Beatrix,1,1,Beatrix,,Unknown,Unknown,Unknown,0,0,2,Unknown
Barbara Grant,1,1,Barbara Grant,,Unknown,Unknown,Unknown,0,0,1,Unknown
William Lucas's,1,1,William Lucas's,,Unknown,Unknown,Unknown,0,0,3,Unknown
Lambton,1,1,Lambton,,Unknown,Unknown,Female,1,14,10,Female
